School ID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400008,Acad of Communication & Tech Charter High School,319,3,315,0,0,1,Nan,Nan,Nan,Nan
400009,Academy for Global Citizenship Elementary School,89,7,1,1,0,80,Nan,Nan,Nan,Nan
400010,ACE Technical Charter High School,476,32,305,3,1,135,Nan,Nan,Nan,Nan
400011,Alain Locke Elementary Charter Academy,507,0,501,0,0,6,Nan,Nan,Nan,Nan
400012,Amandla Charter High School,103,1,102,0,0,0,Nan,Nan,Nan,Nan
400013,ASPIRA Charter - Early College HS,374,15,35,5,0,319,Nan,Nan,Nan,Nan
400015,ASPIRA Charter - Ramirez HS,402,11,34,3,0,354,Nan,Nan,Nan,Nan
400017,ASPIRA Charter - Haugan MS,500,39,40,33,1,387,Nan,Nan,Nan,Nan
400018,Austin Business and Entrepreneurship Academy HS,392,2,390,0,0,0,Nan,Nan,Nan,Nan
400019,Bronzeville Lighthouse Charter Elementary School,404,1,398,1,1,3,Nan,Nan,Nan,Nan
400020,Catalyst Charter Elementary School,331,1,329,0,0,1,Nan,Nan,Nan,Nan
400021,Catalyst Elementary School,274,0,272,0,0,2,Nan,Nan,Nan,Nan
400023,Chicago Intl Charter - Avalon South Shore ES,406,0,406,0,0,0,Nan,Nan,Nan,Nan
400024,Chicago Intl Charter - Basil ES,726,0,691,1,0,34,Nan,Nan,Nan,Nan
400025,Chicago Intl Charter - Bucktown ES,624,40,151,5,0,428,Nan,Nan,Nan,Nan
400026,Chicago Intl Charter - Friesse ES,568,2,564,0,0,2,Nan,Nan,Nan,Nan
400027,Chicago Intl Charter - Irving Park ES,349,40,84,10,5,210,Nan,Nan,Nan,Nan
400028,Chicago Intl Charter - Prairie ES,416,0,241,0,0,175,Nan,Nan,Nan,Nan
400029,Chicago Intl Charter - Washington Park ES,449,0,448,0,0,1,Nan,Nan,Nan,Nan
400030,Chicago Intl Charter - West Belden ES,500,6,53,0,0,441,Nan,Nan,Nan,Nan
400031,Chicago Intl Charter - Wrightwood ES,699,2,691,1,1,4,Nan,Nan,Nan,Nan
400032,Chicago Intl Charter - Ellison HS,447,2,438,1,0,6,Nan,Nan,Nan,Nan
400033,Chicago Intl Charter - Longwood HS,"1,480",2,"1,461",1,0,16,Nan,Nan,Nan,Nan
400034,Chicago Intl Charter - Northtown HS,808,232,96,75,5,400,Nan,Nan,Nan,Nan
400035,Chicago Math & Science Charter High School,483,39,122,36,0,286,Nan,Nan,Nan,Nan
400036,Chicago Virtual Charter High School,600,111,396,38,2,53,Nan,Nan,Nan,Nan
400037,Choir Academy Charter ES of Chicago,141,1,135,0,0,5,Nan,Nan,Nan,Nan
400038,Community Services West High School,105,0,100,0,0,5,Nan,Nan,Nan,Nan
400039,Erie Charter Elementary School,207,8,35,1,0,163,Nan,Nan,Nan,Nan
400040,Frazier Preparatory Academy Elementary School,437,0,432,0,0,5,Nan,Nan,Nan,Nan
400041,Galapagos Charter Elementary School,314,0,314,0,0,0,Nan,Nan,Nan,Nan
400042,Henry Ford Academy: Power House Charter HS,111,0,110,0,0,1,Nan,Nan,Nan,Nan
400044,KIPP Ascend Charter Elementary School,325,0,316,0,0,9,Nan,Nan,Nan,Nan
400045,Kwame Nkrumah Elementary Academy,64,0,64,0,0,0,Nan,Nan,Nan,Nan
400046,LEARN Charter-North Lawndale I ES,433,3,429,0,0,1,Nan,Nan,Nan,Nan
400048,LEARN Charter-West Garfield ES,146,0,145,0,0,1,Nan,Nan,Nan,Nan
400049,Legacy Charter Elementary School,303,0,298,0,1,4,Nan,Nan,Nan,Nan
400050,Namaste Charter Elementary School,313,31,30,5,5,242,Nan,Nan,Nan,Nan
400051,Noble Street Charter - Noble HS,494,17,55,2,0,420,Nan,Nan,Nan,Nan
400052,Noble Street Charter - Comer HS,153,1,148,0,0,4,Nan,Nan,Nan,Nan
400053,Noble Street Charter - Golder HS,284,15,45,4,0,220,Nan,Nan,Nan,Nan
400054,Noble Street Charter - Pritzker HS,428,4,39,7,0,378,Nan,Nan,Nan,Nan
400055,Noble Street Charter - Rauner HS,409,22,72,3,0,312,Nan,Nan,Nan,Nan
400056,Noble Street Charter - Rowe Clark HS,279,7,172,0,0,100,Nan,Nan,Nan,Nan
400057,Noble Street Charter - UIC HS,182,14,47,2,0,119,Nan,Nan,Nan,Nan
400058,North Lawndale Charter HS - Howland,405,0,396,0,0,9,Nan,Nan,Nan,Nan
400059,North Lawndale Charter HS - Collins,248,0,246,0,0,2,Nan,Nan,Nan,Nan
400060,Passages Charter Elementary School,209,25,105,44,2,33,Nan,Nan,Nan,Nan
400061,Perspectives Charter-Calumet HS,364,0,362,0,1,1,Nan,Nan,Nan,Nan
400062,Perspectives Charter-Calumet Technical HS,327,1,325,0,0,1,Nan,Nan,Nan,Nan
400064,Perspectives Charter-Loop HS,346,13,215,3,1,114,Nan,Nan,Nan,Nan
400066,Perspectives Charter-Math and Science HS,261,5,235,5,1,15,Nan,Nan,Nan,Nan
400067,Perspectives Charter-Calumet MS,383,0,383,0,0,0,Nan,Nan,Nan,Nan
400068,Plato Learning Academy Elementary School,291,1,289,0,0,1,Nan,Nan,Nan,Nan
400069,Polaris Charter Elementary Academy,182,1,164,0,0,17,Nan,Nan,Nan,Nan
400070,Prologue Early College High School,201,5,152,3,3,38,Nan,Nan,Nan,Nan
400071,Providence Englewood Elementary School,399,1,394,0,0,4,Nan,Nan,Nan,Nan
400072,Betty Shabazz Charter - Shabazz ES,297,0,296,0,0,1,Nan,Nan,Nan,Nan
400073,Betty Shabazz Charter - DuSable HS,383,1,381,0,0,1,Nan,Nan,Nan,Nan
400074,Betty Shabazz Charter - Sizemore ES,202,0,202,0,0,0,Nan,Nan,Nan,Nan
400075,Univ of Chicago Charter - Donoghue ES,334,1,331,0,0,2,Nan,Nan,Nan,Nan
400076,Univ of Chicago Charter-North Kenwood Oakland ES,310,3,305,1,0,1,Nan,Nan,Nan,Nan
400077,Univ of Chicago Charter - Woodlawn HS,440,2,432,1,0,5,Nan,Nan,Nan,Nan
400078,Univ of Chicago Charter - Woodson South MS,193,0,192,0,0,1,Nan,Nan,Nan,Nan
400079,UNO Charter-Archer Heights North ES,559,8,4,4,0,543,Nan,Nan,Nan,Nan
400080,UNO Charter-Archer Heights South ES,565,14,10,0,0,541,Nan,Nan,Nan,Nan
400081,UNO Charter ES-de Las Casas,264,1,3,0,0,260,Nan,Nan,Nan,Nan
400082,UNO Charter-Fuentes ES,539,17,9,6,1,506,Nan,Nan,Nan,Nan
400083,UNO Charter-Paz ES,472,0,208,1,0,263,Nan,Nan,Nan,Nan
400084,UNO Charter-Tamayo ES,276,3,2,0,0,271,Nan,Nan,Nan,Nan
400085,UNO Charter-Archer Heights HS,149,1,1,0,0,147,Nan,Nan,Nan,Nan
400086,Urban Prep Academy for Young Men Charter HS,445,2,442,0,0,1,Nan,Nan,Nan,Nan
400087,Young Womens Leadership Charter High School,356,25,273,2,0,56,Nan,Nan,Nan,Nan
400089,UNO Charter-Marquez ES,540,8,8,0,1,523,Nan,Nan,Nan,Nan
609674,Chicago Vocational Career Academy High School,"1,666",4,"1,641",0,2,19,Nan,Nan,Nan,Nan
609675,Chicago Vocational Achievement Academy HS,232,1,226,0,0,5,Nan,Nan,Nan,Nan
609676,Paul Laurence Dunbar Career Academy High School,"1,545",3,"1,529",1,1,11,Nan,Nan,Nan,Nan
609678,William Jones College Preparatory High School,739,217,183,86,5,248,Nan,Nan,Nan,Nan
609679,Charles Allen Prosser Career Academy High School,"1,434",149,449,8,2,826,Nan,Nan,Nan,Nan
609680,Walter Payton College Preparatory High School,875,315,223,148,3,186,Nan,Nan,Nan,Nan
609682,Ellen H Richards Career Academy High School,595,9,150,0,0,436,Nan,Nan,Nan,Nan
609683,Alternative Learning Community High School,453,10,378,0,1,64,Nan,Nan,Nan,Nan
609686,Youth Connections Charter School,"3,071",90,"2,169",19,3,790,Nan,Nan,Nan,Nan
609691,North-Grand High School,929,8,62,1,0,858,Nan,Nan,Nan,Nan
609692,Neal F Simeon Career Academy High School,"1,612",2,"1,601",0,0,9,Nan,Nan,Nan,Nan
609694,John Hancock College Preparatory High School,933,57,29,5,4,838,Nan,Nan,Nan,Nan
