SchoolID,School,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400009.00,Globel Citizenship,350,31,11,0,2,298,3,1,0,4
400010.00,ACE Tech Chtr HS,481,11,366,0,3,100,1,0,0,0
400011.00,Locke A. Charter,570,0,562,0,0,7,1,0,0,0
400012.00,Amandla Elementay Chrtr,354,1,344,0,0,2,1,0,0,6
400013.00,ASPIRA Chrt - Early College,568,4,14,0,3,538,0,5,0,4
400015.00,ASPIRA Chrt - Ramirez,166,5,14,0,1,146,0,0,0,0
400017.00,ASPIRA Chrt - Haugan,565,12,18,0,5,508,6,14,1,1
400018.00,Austin Bus & Entrp HS,186,0,186,0,0,0,0,0,0,0
400019.00,Bronzeville LH Chrt,488,0,477,0,0,2,1,1,0,7
400020.00,Catalyst Chrt - Howland,472,0,422,0,1,11,0,0,0,38
400021.00,Catalyst Chtr -Circle Rock,521,0,438,0,1,1,2,0,0,79
400022.00,Chicago Arts HS,575,69,306,2,1,135,19,7,1,35
400023.00,CICS - Avalon/So Shore,418,2,411,0,0,2,0,0,0,3
400024.00,CICS- Basil,704,1,630,0,0,67,1,2,0,3
400025.00,CICS - Bucktown,674,16,92,0,4,552,6,1,1,2
400026.00,CICS - Loomis,578,0,555,0,0,5,2,0,0,16
400027.00,CICS - Irving Park,534,70,36,1,1,332,12,24,0,58
400028.00,CICS- Prairie,406,0,199,0,0,206,1,0,0,0
400029.00,CICS- Washington,442,0,403,0,1,6,0,0,0,32
400030.00,CICS - W. Belden,500,5,38,0,0,454,0,0,0,3
400031.00,CICS- Wrightwood,731,4,680,0,1,17,21,1,0,7
400032.00,CICS - Ellison,481,0,468,0,0,2,8,0,0,3
400033.00,CICS - Longwood,"1,283",1,"1,250",0,0,16,2,2,0,12
400034.00,CICS - Northtown,886,174,53,3,7,501,14,122,6,6
400035.00,Chgo Math/Sci Chtr,606,24,164,1,4,340,10,62,1,0
400036.00,Chicago Virtual Chtr,690,118,373,2,2,109,31,51,1,3
400038.00,Community Service West HS,156,0,153,0,0,1,2,0,0,0
400039.00,Erie Charter,425,7,74,0,0,331,7,2,0,4
400040.00,Frazier Prep Acad,456,1,408,0,0,3,0,0,0,44
400041.00,Galapagos Charter,346,0,299,0,0,18,0,0,0,29
400042.00,Ford Power House Chrt HS,179,1,162,0,1,11,0,0,0,4
400043.00,Hope Inst Learning Acad,398,9,342,0,1,34,3,4,0,5
400044.00,KIPP Ascend Charter,744,2,692,0,2,39,2,0,0,7
400045.00,Nkrumah Academy,217,0,214,0,0,1,1,0,0,1
400046.00,LEARN Chtr -  Butler,634,1,600,0,0,4,1,0,0,28
400047.00,LEARN Chtr - North Lawndale,442,0,436,0,0,4,0,0,0,2
400048.00,LEARN Chtr - EXCEL,401,0,368,0,1,6,0,1,0,25
400049.00,Legacy Charter,496,1,449,0,2,13,0,0,0,31
400050.00,Namaste Charter,483,44,20,0,1,410,2,5,1,0
400051.00,Noble St Chtr Hs -College Prep,602,17,64,0,5,510,1,5,0,0
400052.00,Nobel St Chtr HS - Comer,950,1,892,0,0,43,13,0,0,1
400053.00,Noble St Chtr HS - Golder,635,21,82,1,2,524,1,2,1,1
400054.00,Noble St Chtr HS - Prtizker,858,7,18,0,4,824,2,3,0,0
