School ID,Education Units,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400009,GLOBAL CITIZENSHIP CHTR,391,28,14,0,2,340,3,1,0,3
400010,ACE TECHNICAL CHARTER HS,448,11,362,0,3,71,1,0,0,0
400011,"LOCKE, A CHTR",581,0,578,0,0,3,0,0,0,0
400012,AMANDLA CHTR HS,325,1,311,0,0,3,1,0,0,9
400013,ASPIRA CHTR - EARLY COLLEGE HS,508,5,13,0,5,480,0,5,0,0
400015,ASPIRA CHTR - RAMIREZ HS,77,3,7,0,1,66,0,0,0,0
400017,ASPIRA CHTR - HAUGAN,578,13,14,0,4,525,5,15,2,0
400018,AUSTIN BUS & ENTRP HS,150,0,148,0,0,2,0,0,0,0
400019,BRONZEVILLE LTHOUSE CHTR CAMPUS,472,0,448,0,0,2,0,0,0,22
400020,CATALYST CHTR - HOWLAND,468,0,449,0,0,7,0,0,0,12
400021,CATALYST CHTR - CIRCLE ROCK,516,0,419,0,1,2,1,0,0,93
400022,CHGO ARTS CONTR HS,577,90,311,0,1,140,17,12,2,4
400023,CICS-AVALON /SO SHORE,402,2,391,0,1,5,1,1,0,1
400024,CICS-BASIL,634,0,569,0,0,59,2,1,0,3
400025,CICS-BUCKTOWN,675,15,71,0,6,565,12,2,0,4
400026,CICS-LOOMIS,578,0,569,0,1,2,1,0,0,5
400027,CICS-IRVING PARK,536,94,29,0,1,365,12,29,1,5
400028,CICS-PRAIRIE,405,0,184,0,0,212,8,0,0,1
400029,CICS-WASHINGTON PARK,432,0,424,0,1,7,0,0,0,0
400030,CICS-WEST BELDEN,501,4,39,0,0,458,0,0,0,0
400031,CICS-WRIGHTWOOD,731,4,685,0,1,27,14,0,0,0
400032,CICS-ELLISON,479,0,470,0,0,2,7,0,0,0
400033,CICS-LONGWOOD,"1,266",1,"1,248",0,0,13,3,0,1,0
400034,CICS-NORTHTOWN,860,170,50,1,7,482,12,131,6,1
400035,CHGO MATH & SCI ACAD CAMPUS HS,606,24,181,0,4,326,6,63,1,1
400036,CHICAGO VIRTUAL CHTR CAMPUS HS,682,117,374,2,1,114,22,43,1,8
400038,COMMUNITY CONTR,156,0,154,0,0,1,1,0,0,0
400039,ERIE CHTR CAMPUS,440,7,68,0,0,350,10,1,0,4
400040,FRAZIER CHTR,406,1,373,0,0,2,1,0,0,29
400041,GALAPAGOS CHTR CAMPUS,338,2,300,0,0,20,0,0,0,16
400042,FORD CHTR HS,97,0,88,0,0,6,0,0,0,3
400043,HOPE CONTR ES,394,12,340,0,1,32,4,2,1,2
400044,KIPP ASCEND CHTR CAMPUS,722,2,677,0,2,39,1,0,0,1
400045,NKRUMAH CHTR,312,0,307,0,0,2,1,0,0,2
400046,LEARN CHTR BUTLER,638,0,622,0,0,9,1,0,0,6
400047,LEARN CHTR - CAMPBELL,488,0,463,0,0,23,0,0,0,2
400048,LEARN CHTR EXCEL,448,0,414,0,0,8,1,0,0,25
400049,LEGACY CHTR CAMPUS,496,0,446,0,1,15,0,0,0,34
400050,NAMASTE CHTR CAMPUS,485,46,17,0,2,411,3,5,1,0
400051,NOBLE ST CHTR-NOBLE,615,16,65,0,3,522,3,5,0,1
400052,NOBLE ST CHTR-COMER,"1,022",0,970,0,0,40,11,0,0,1
400053,NOBLE ST CHTR-GOLDER,645,15,70,1,1,552,3,3,0,0
400054,NOBLE ST CHTR-PRITZKER,929,7,22,0,3,893,2,2,0,0
400055,NOBLE ST CHTR-RAUNER,619,17,46,0,7,538,9,1,0,1
400056,NOBLE ST CHTR-ROWE CLARK,624,3,433,0,0,170,4,2,0,12
400057,NOBLE ST CHTR-UIC,887,19,211,1,2,589,5,45,1,14
400058,NTH LAWNDALE CHTR-CHRISTIANA,411,1,403,0,0,6,1,0,0,0
400059,NTH LAWNDALE CHTR-COLLINS,410,1,409,0,0,0,0,0,0,0
400060,ASIAN HUMAN SERVICES CHTR - PASSAGES,456,32,216,2,2,78,20,97,3,6
400061,PERSPECTIVES CHTR - LEADERSHIP ACADEMY,641,0,619,0,1,5,5,0,0,11
400062,PERSPECTIVES CHTR CALUMET TECH,449,1,442,0,0,2,2,0,0,2
400064,PERSPECTIVES CHTR JOSLIN,384,7,281,1,0,75,6,7,0,7
400066,PERSPECTIVES CHTR IIT,572,6,539,0,0,11,4,2,0,10
400068,PLATO CONTR,487,0,481,0,0,5,0,1,0,0
400069,POLARIS CHTR CAMPUS,426,1,386,0,0,33,2,0,0,4
400070,PROLOGUE HS,222,5,180,0,0,35,2,0,0,0
400071,PROVIDENCE CHTR-BUNCHE,512,0,469,0,0,8,2,0,2,31
400072,SHABAZZ CHTR-SHABAZZ,305,0,250,0,1,1,3,0,0,50
400073,SHABAZZ CHTR-DUSABLE,145,0,144,0,0,1,0,0,0,0
400074,SHABAZZ CHTR-SIZEMORE,268,0,239,0,0,2,0,0,1,26
400075,UNIV OF CHGO CHTR-DONOGHUE,566,0,535,0,1,3,3,0,0,24
400076,UNIV OF CHGO CHTR-NKO,342,11,319,0,0,4,2,0,0,6
400077,UNIV OF CHGO CHTR-WOODLAWN,650,1,637,0,0,4,5,0,1,2
400078,UNIV OF CHGO CHTR-WOODSON,352,2,324,0,0,3,2,0,0,21
400079,UNO CHTR - SPC DANIEL ZIZUMBO,637,11,0,0,2,624,0,0,0,0
400080,UNO CHTR - PFC OMAR E.TORRES,638,5,3,0,2,625,1,0,0,2
400081,UNO CHTR-DE LAS CASAS,287,0,1,0,0,286,0,0,0,0
400082,UNO CHTR-FUENTES,574,4,2,0,1,554,1,1,0,11
400083,UNO CHTR-PAZ,413,1,24,0,4,368,0,0,0,16
400084,UNO CHTR-TAMAYO,289,3,0,0,0,285,0,0,0,1
400085,UNO CHTR - MAJOR HECTOR P.GARCIA,666,5,3,0,4,652,0,1,1,0
400086,URBAN PREP CHTR-ENGLEWOOD,477,0,469,0,0,1,5,0,0,2
400087,YNG WOMEN-CHTR CAMPUS,336,5,293,0,1,25,2,0,0,10
400089,UNO CHTR-MARQUEZ,569,0,3,0,2,535,0,0,0,29
400091,CHICAGO TECH ACADEMY,377,10,268,0,2,88,2,7,0,0
400092,CICS - LLOYD BOND,343,0,329,0,0,13,0,0,0,1
400094,EPIC CHTR HS,421,1,235,0,0,180,4,0,1,0
400096,ROWE,692,14,87,0,1,549,4,2,0,35
400097,NOBLE ST CHTR-CHGO BULLS,"1,085",7,361,0,2,699,5,4,1,6
400098,NOBLE ST CHTR-MUCHIN,842,16,242,0,3,526,1,47,0,7
400101,UNO CHTR  - SANDRA CISNEROS,552,3,2,0,2,545,0,0,0,0
400102,URBAN PREP CHTR - WEST,418,0,410,0,0,6,2,0,0,0
400104,INSTITUTO ACAD CHTR,769,8,35,0,1,723,0,1,0,1
400105,URBAN PREP CHTR - BRONZEVILLE,479,0,469,0,0,5,3,0,0,2
400106,NOBLE STREET CHTR - JOHNSON,848,1,816,0,0,22,4,5,0,0
400107,LEARN CHRT - SO CHICAGO,450,1,375,0,0,70,3,0,0,1
400108,CICS - HAWKINS,237,0,232,0,0,4,1,0,0,0
400109,PROLOGUE-JOHNSTON CHTR HS,250,0,249,0,0,1,0,0,0,0
400111,LEARN CHTR - HUNTER PERKINS,456,0,453,0,0,2,0,0,0,1
400112,UNO CHTR-51ST - HOMAN,576,2,0,0,4,557,0,0,0,13
400113,CHICAGO QUEST NORTH,295,21,198,0,0,63,7,6,0,0
400114,UNO CHTR - ESMERALDA SANTIAGO,276,3,9,0,0,259,0,1,0,4
400115,CATALYST CHTR - MARIA,956,6,432,0,3,443,7,0,0,65
400116,MONTESSORI CHTR - ENGLEWOOD,258,1,247,0,0,8,2,0,0,0
400117,NOBLE STREET CHTR - SILVER HS,647,0,626,0,0,15,4,0,0,2
400118,NOBLE STREET CHTR - PURPLE,463,3,407,0,0,46,3,0,0,4
400119,LEGAL PREP CHTR - ACADEMY,251,1,243,0,0,5,0,0,0,2
400120,UNO CHTR - NEAR WEST,576,7,32,0,3,526,1,0,0,7
400121,UNO CHTR - ROGERS PARK ES,729,12,99,2,6,581,3,11,0,15
400123,YCCS CHTR-COMMUNITY SERVICE,195,1,192,0,0,2,0,0,0,0
400124,YCCS CHTR-MCKINLEY,174,0,171,0,0,2,1,0,0,0
400125,YCCS CHTR-ASPIRA PANTOJA,166,3,3,0,0,158,1,0,0,1
400126,YCCS CHTR-ASSOCIATION HOUSE,150,2,39,0,0,107,2,0,0,0
400127,YCCS CHTR-AUSTIN CAREER,180,0,169,0,0,10,0,0,0,1
400128,YCCS CHTR-CCA ACADEMY,180,0,174,0,0,5,1,0,0,0
400129,YCCS CHTR-HOUSTON,137,0,137,0,0,0,0,0,0,0
400130,YCCS CHTR-YOUTH DEVELOPMENT,250,0,249,0,0,1,0,0,0,0
