SchoolID,EducationUnits,Total,White,AfricanAmerican,API,NativeAmericanAlaskan,Hispanic,MR,Asian,HPR,NA
400009.00,GLOBAL CITIZENSHIP,450.00,28.00,19.00,0.00,1.00,399.00,3.00,0.00,0.00,0.00
400010.00,ACE TECH HS,439.00,6.00,370.00,0.00,0.00,61.00,1.00,0.00,0.00,1.00
400011.00,LOCKE A,569.00,0.00,565.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00
400012.00,AMANDLA,323.00,1.00,316.00,0.00,0.00,3.00,1.00,0.00,0.00,2.00
400013.00,ASPIRA - EARLY COLLEGE HS,451.00,5.00,11.00,0.00,2.00,426.00,0.00,2.00,0.00,5.00
400017.00,ASPIRA - HAUGAN,532.00,12.00,13.00,0.00,4.00,478.00,8.00,16.00,1.00,0.00
400018.00,AUSTIN BUS & ENTRP HS,102.00,0.00,98.00,0.00,0.00,3.00,1.00,0.00,0.00,0.00
400019.00,BRONZEVILLE LIGHTHOUSE,472.00,2.00,452.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00
400021.00,CATALYST - CIRCLE ROCK,521.00,0.00,509.00,0.00,0.00,5.00,2.00,1.00,0.00,4.00
400022.00,CHICAGO ARTS HS,605.00,99.00,309.00,0.00,1.00,154.00,21.00,12.00,2.00,7.00
400023.00,CICS - AVALON/SOUTH SHORE,421.00,1.00,407.00,0.00,1.00,6.00,3.00,1.00,0.00,2.00
400024.00,CICS - BASIL,719.00,0.00,622.00,0.00,2.00,90.00,3.00,1.00,0.00,1.00
400025.00,CICS - BUCKTOWN,678.00,20.00,64.00,0.00,6.00,571.00,12.00,3.00,0.00,2.00
400026.00,CICS - LOOMIS,571.00,0.00,566.00,0.00,1.00,2.00,0.00,0.00,0.00,2.00
400027.00,CICS - IRVING PARK,536.00,98.00,26.00,0.00,1.00,363.00,15.00,32.00,1.00,0.00
400028.00,CICS - PRAIRIE,410.00,0.00,190.00,0.00,0.00,213.00,6.00,1.00,0.00,0.00
400029.00,CICS - WASHINGTON PARK,453.00,0.00,447.00,0.00,1.00,4.00,0.00,1.00,0.00,0.00
400030.00,CICS - WEST BELDEN,502.00,5.00,34.00,0.00,0.00,462.00,1.00,0.00,0.00,0.00
400031.00,CICS - WRIGHTWOOD,730.00,5.00,681.00,0.00,1.00,24.00,14.00,0.00,0.00,5.00
400032.00,CICS - ELLISON HS,458.00,0.00,450.00,0.00,0.00,3.00,4.00,0.00,0.00,1.00
400033.00,CICS - LONGWOOD,1331.00,1.00,1313.00,0.00,0.00,15.00,1.00,0.00,1.00,0.00
400034.00,CICS - NORTHTOWN HS,879.00,170.00,53.00,0.00,5.00,485.00,17.00,143.00,5.00,1.00
400035.00,CHICAGO MATH & SCIENCE HS,610.00,22.00,186.00,0.00,5.00,326.00,6.00,63.00,1.00,1.00
400036.00,CHICAGO VIRTUAL,683.00,109.00,372.00,0.00,2.00,122.00,20.00,51.00,1.00,6.00
400038.00,COMMUNITY SERVICES WEST HS,95.00,0.00,92.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00
400039.00,ERIE,423.00,6.00,63.00,0.00,0.00,343.00,10.00,1.00,0.00,0.00
400040.00,FRAZIER CHARTER,428.00,0.00,415.00,0.00,0.00,6.00,2.00,0.00,0.00,5.00
400041.00,GALAPAGOS,333.00,2.00,306.00,0.00,0.00,21.00,0.00,0.00,0.00,4.00
400043.00,HOPE INSTITUTE,379.00,8.00,336.00,0.00,0.00,29.00,5.00,1.00,0.00,0.00
400044.00,KIPP - ASCEND,623.00,3.00,584.00,0.00,2.00,32.00,1.00,0.00,0.00,1.00
400045.00,NKRUMAH,311.00,1.00,300.00,0.00,0.00,5.00,0.00,0.00,0.00,5.00
400046.00,LEARN - BUTLER,622.00,1.00,611.00,0.00,0.00,9.00,0.00,0.00,0.00,1.00
400047.00,LEARN - CAMPBELL,453.00,1.00,426.00,0.00,0.00,22.00,0.00,0.00,0.00,4.00
400048.00,LEARN - EXCEL,436.00,0.00,423.00,0.00,0.00,12.00,0.00,0.00,0.00,1.00
400049.00,LEGACY,478.00,0.00,458.00,0.00,1.00,14.00,0.00,0.00,0.00,5.00
400050.00,NAMASTE,488.00,37.00,18.00,0.00,2.00,420.00,5.00,5.00,1.00,0.00
400051.00,NOBLE - NOBLE HS,626.00,10.00,58.00,0.00,1.00,548.00,4.00,3.00,0.00,2.00
400052.00,NOBLE - COMER,1067.00,0.00,1024.00,0.00,0.00,38.00,3.00,0.00,0.00,2.00
400053.00,NOBLE - GOLDER HS,664.00,17.00,77.00,1.00,2.00,561.00,4.00,1.00,0.00,1.00
400054.00,NOBLE - PRITZKER HS,941.00,7.00,24.00,0.00,5.00,899.00,2.00,4.00,0.00,0.00
400055.00,NOBLE - RAUNER HS,617.00,13.00,60.00,0.00,7.00,523.00,6.00,1.00,0.00,7.00
400056.00,NOBLE - ROWE CLARK HS,558.00,0.00,401.00,0.00,0.00,137.00,3.00,1.00,0.00,16.00
400057.00,NOBLE - UIC HS,903.00,18.00,232.00,0.00,3.00,600.00,5.00,31.00,1.00,13.00
400058.00,NORTH LAWNDALE - CHRISTIANA HS,397.00,0.00,393.00,0.00,0.00,2.00,2.00,0.00,0.00,0.00
400059.00,NORTH LAWNDALE - COLLINS HS,409.00,0.00,407.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00
400060.00,AHS - PASSAGES,456.00,29.00,209.00,0.00,2.00,90.00,18.00,102.00,3.00,3.00
400061.00,PERSPECTIVES - LEADERSHIP HS,546.00,0.00,534.00,0.00,1.00,5.00,5.00,0.00,0.00,1.00
400062.00,PERSPECTIVES - TECH HS,420.00,0.00,413.00,0.00,0.00,3.00,3.00,0.00,0.00,1.00
400064.00,PERSPECTIVES - JOSLIN HS,394.00,6.00,313.00,0.00,0.00,62.00,6.00,5.00,0.00,2.00
400066.00,PERSPECTIVES - MATH & SCI HS,534.00,3.00,512.00,0.00,0.00,14.00,2.00,3.00,0.00,0.00
400068.00,PLATO,497.00,0.00,490.00,0.00,0.00,6.00,0.00,1.00,0.00,0.00
400069.00,POLARIS,440.00,1.00,389.00,0.00,0.00,47.00,3.00,0.00,0.00,0.00
400070.00,PROLOGUE - EARLY COLLEGE HS,170.00,1.00,143.00,0.00,0.00,25.00,1.00,0.00,0.00,0.00
400071.00,PROVIDENCE ENGLEWOOD,493.00,0.00,475.00,0.00,0.00,14.00,1.00,0.00,1.00,2.00
400072.00,SHABAZZ - SHABAZZ,315.00,0.00,301.00,0.00,0.00,7.00,3.00,0.00,0.00,4.00
400073.00,SHABAZZ - DUSABLE HS,51.00,0.00,51.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
400074.00,SHABAZZ - SIZEMORE,269.00,0.00,263.00,0.00,0.00,5.00,0.00,0.00,0.00,1.00
400075.00,U OF C - DONOGHUE,565.00,0.00,547.00,0.00,0.00,5.00,4.00,0.00,0.00,9.00
400076.00,U OF C - NKO,355.00,12.00,333.00,0.00,0.00,4.00,4.00,0.00,0.00,2.00
400077.00,U OF C - WOODLAWN HS,641.00,1.00,629.00,0.00,0.00,6.00,3.00,0.00,1.00,1.00
400078.00,U OF C - WOODSON,322.00,0.00,316.00,0.00,0.00,3.00,2.00,0.00,0.00,1.00
400079.00,UNO - ZIZUMBO,638.00,10.00,0.00,0.00,2.00,625.00,0.00,1.00,0.00,0.00
400080.00,UNO - TORRES,640.00,2.00,5.00,0.00,2.00,630.00,1.00,0.00,0.00,0.00
400081.00,UNO - DE LAS CASAS,287.00,0.00,0.00,0.00,0.00,287.00,0.00,0.00,0.00,0.00
400082.00,UNO - FUENTES,568.00,6.00,1.00,0.00,0.00,559.00,1.00,1.00,0.00,0.00
